,all_covered_probes_x,passed_seconds,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,row_wise_mean,unix_time
0,974,0,706,974,878,705,886,974,699,708,886,839.0,1707215626
1,977,1,994,983,994,994,896,984,994,994,994,980.4,1707215627
2,990,1,994,987,994,994,991,987,994,994,994,991.9,1707215627
3,991,1,994,987,994,994,994,988,994,994,994,992.4,1707215627
4,991,2,994,988,994,994,994,991,994,994,994,992.8,1707215628
5,991,2,994,988,994,994,994,994,994,994,994,993.1,1707215628
6,991,2,994,988,994,994,994,994,994,994,994,993.1,1707215628
7,994,3,994,988,994,994,994,994,994,994,994,993.4,1707215629
8,994,3,994,991,994,994,994,994,994,994,994,993.7,1707215629
9,994,3,994,991,994,994,994,994,994,994,994,993.7,1707215629
10,994,4,994,994,994,994,994,994,994,994,994,994.0,1707215630
11,994,4,994,994,994,994,994,994,994,994,994,994.0,1707215630
12,994,4,994,994,994,994,994,994,994,994,994,994.0,1707215630
13,994,5,994,994,994,994,994,994,994,994,994,994.0,1707215631
14,994,5,994,994,994,994,994,994,994,994,994,994.0,1707215631
15,994,5,994,994,994,994,994,994,994,994,994,994.0,1707215631
16,994,6,994,994,994,994,994,994,994,994,994,994.0,1707215632
17,994,6,994,994,994,994,994,994,994,994,994,994.0,1707215632
18,994,6,994,994,994,994,994,994,994,994,994,994.0,1707215632
19,994,7,994,994,994,994,994,994,994,994,994,994.0,1707215633
20,994,7,994,994,994,994,994,994,994,994,994,994.0,1707215633
21,994,7,994,994,994,994,994,994,994,994,994,994.0,1707215633
22,994,8,994,994,994,994,994,994,994,994,994,994.0,1707215634
23,994,8,994,994,994,994,994,994,994,994,994,994.0,1707215634
24,994,8,994,994,994,994,994,994,994,994,994,994.0,1707215634
25,994,9,994,994,994,994,994,994,994,994,994,994.0,1707215635
26,994,9,994,994,994,994,994,994,994,994,994,994.0,1707215635
27,994,9,994,994,994,994,994,994,994,994,994,994.0,1707215635
28,994,10,994,994,994,994,994,994,994,994,994,994.0,1707215636
29,994,10,994,994,994,994,994,994,994,994,994,994.0,1707215636
30,994,10,994,994,994,994,994,994,994,994,994,994.0,1707215636
31,994,11,994,994,994,994,994,994,994,994,994,994.0,1707215637
32,994,11,994,994,994,994,994,994,994,994,994,994.0,1707215637
33,994,11,994,994,994,994,994,994,994,994,994,994.0,1707215637
34,994,12,994,994,994,994,994,994,994,994,994,994.0,1707215638
35,994,12,994,994,994,994,994,994,994,994,994,994.0,1707215638
36,994,12,994,994,994,994,994,994,994,994,994,994.0,1707215638
37,994,13,994,994,994,994,994,994,994,994,994,994.0,1707215639
38,994,13,994,994,994,994,994,994,994,994,994,994.0,1707215639
39,994,13,994,994,994,994,994,994,994,994,994,994.0,1707215639
40,994,14,994,994,994,994,994,994,994,994,994,994.0,1707215640
41,994,14,994,994,994,994,994,994,994,994,994,994.0,1707215640
42,994,14,994,994,994,994,994,994,994,994,994,994.0,1707215640
43,994,15,994,994,994,994,994,994,994,994,994,994.0,1707215641
44,994,15,994,994,994,994,994,994,994,994,994,994.0,1707215641
45,994,15,994,994,994,994,994,994,994,994,994,994.0,1707215641
46,994,16,994,994,994,994,994,994,994,994,994,994.0,1707215642
47,994,16,994,994,994,994,994,994,994,994,994,994.0,1707215642
48,994,16,994,994,994,994,994,994,994,994,994,994.0,1707215642
49,994,17,994,994,994,994,994,994,994,994,994,994.0,1707215643
50,994,17,994,994,994,994,994,994,994,994,994,994.0,1707215643
51,994,17,994,994,994,994,994,994,994,994,994,994.0,1707215643
52,994,18,994,994,994,994,994,994,994,994,994,994.0,1707215644
53,994,18,994,994,994,994,994,994,994,994,994,994.0,1707215644
54,994,18,994,994,994,994,994,994,994,994,994,994.0,1707215644
55,994,19,994,994,994,994,994,994,994,994,994,994.0,1707215645
56,994,19,994,994,994,994,994,994,994,994,994,994.0,1707215645
57,994,19,994,994,994,994,994,994,994,994,994,994.0,1707215645
58,994,20,994,994,994,994,994,994,994,994,994,994.0,1707215646
59,994,20,994,994,994,994,994,994,994,994,994,994.0,1707215646
60,994,20,994,994,994,994,994,994,994,994,994,994.0,1707215646
61,994,21,994,994,994,994,994,994,994,994,994,994.0,1707215647
62,994,21,994,994,994,994,994,994,994,994,994,994.0,1707215647
63,994,21,994,994,994,994,994,994,994,994,994,994.0,1707215647
64,994,22,994,994,994,994,994,994,994,994,994,994.0,1707215648
65,994,22,994,994,994,994,994,994,994,994,994,994.0,1707215648
66,994,22,994,994,994,994,994,994,994,994,994,994.0,1707215648
67,994,23,994,994,994,994,994,994,994,994,994,994.0,1707215649
68,994,23,994,994,994,994,994,994,994,994,994,994.0,1707215649
