unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes
1707215626, 0, 0, 1, 0, 0, 1.49%, 0, 0, 0, 1.53, 1, 0, 1.49%, 974, 974
1707215627, 0, 0, 2, 0, 0, 1.49%, 0, 0, 0, 135.76, 42, 0, 1.49%, 977, 977
1707215627, 0, 0, 5, 0, 0, 1.51%, 0, 0, 0, 156.67, 89, 0, 1.51%, 990, 990
1707215627, 0, 0, 8, 0, 0, 1.51%, 0, 0, 0, 273.33, 171, 0, 1.51%, 991, 991
1707215627, 0, 0, 9, 0, 0, 1.51%, 0, 0, 0, 288.08, 258, 0, 1.51%, 991, 991
1707215628, 0, 0, 13, 0, 0, 1.51%, 0, 0, 0, 302.33, 349, 0, 1.51%, 991, 991
1707215628, 0, 0, 14, 0, 0, 1.51%, 0, 0, 0, 331.13, 449, 0, 1.51%, 991, 991
1707215628, 0, 0, 17, 0, 0, 1.51%, 0, 0, 0, 344.37, 553, 0, 1.51%, 991, 991
1707215629, 0, 0, 18, 0, 0, 1.52%, 0, 0, 0, 331.13, 653, 0, 1.52%, 994, 994
1707215629, 0, 0, 18, 0, 0, 1.52%, 0, 0, 0, 317.88, 749, 0, 1.52%, 994, 994
1707215629, 0, 0, 18, 0, 0, 1.52%, 0, 0, 0, 336.67, 850, 0, 1.52%, 994, 994
1707215630, 0, 0, 19, 0, 0, 1.52%, 0, 0, 0, 331.13, 950, 0, 1.52%, 994, 994
1707215630, 0, 1, 19, 0, 0, 1.52%, 0, 0, 0, 458.47, 1088, 0, 1.52%, 994, 994
1707215630, 0, 1, 21, 0, 0, 1.52%, 0, 0, 0, 486.67, 1234, 0, 1.52%, 994, 994
1707215630, 0, 1, 21, 0, 0, 1.52%, 0, 0, 0, 491.69, 1382, 0, 1.52%, 994, 994
1707215631, 0, 1, 21, 0, 0, 1.52%, 0, 0, 0, 483.33, 1527, 0, 1.52%, 994, 994
1707215631, 0, 1, 22, 0, 0, 1.52%, 0, 0, 0, 491.69, 1675, 0, 1.52%, 994, 994
1707215631, 0, 1, 23, 0, 0, 1.52%, 0, 0, 0, 468.44, 1816, 0, 1.52%, 994, 994
1707215632, 0, 2, 30, 0, 0, 1.52%, 0, 0, 0, 671.10, 2018, 0, 1.52%, 994, 994
1707215632, 0, 2, 30, 0, 0, 1.52%, 0, 0, 0, 760.00, 2246, 0, 1.52%, 994, 994
1707215632, 0, 2, 30, 0, 0, 1.52%, 0, 0, 0, 723.33, 2463, 0, 1.52%, 994, 994
1707215633, 0, 2, 30, 0, 0, 1.52%, 0, 0, 0, 776.67, 2696, 0, 1.52%, 994, 994
1707215633, 0, 3, 30, 0, 0, 1.52%, 0, 0, 0, 890.00, 2963, 0, 1.52%, 994, 994
1707215633, 0, 3, 30, 0, 0, 1.52%, 0, 0, 0, 953.33, 3249, 0, 1.52%, 994, 994
1707215633, 0, 5, 30, 0, 0, 1.52%, 0, 0, 0, 784.05, 3485, 0, 1.52%, 994, 994
1707215634, 0, 6, 30, 0, 0, 1.52%, 0, 0, 0, 843.33, 3738, 0, 1.52%, 994, 994
1707215634, 0, 6, 30, 0, 0, 1.52%, 0, 0, 0, 946.67, 4022, 0, 1.52%, 994, 994
1707215634, 0, 8, 30, 0, 0, 1.52%, 0, 0, 0, 823.92, 4270, 0, 1.52%, 994, 994
1707215635, 0, 12, 30, 0, 0, 1.52%, 0, 0, 0, 574.75, 4443, 0, 1.52%, 994, 994
1707215635, 0, 15, 30, 0, 0, 1.52%, 0, 0, 0, 475.08, 4586, 0, 1.52%, 994, 994
1707215635, 0, 17, 30, 0, 0, 1.52%, 0, 0, 0, 463.33, 4725, 0, 1.52%, 994, 994
1707215636, 0, 17, 30, 0, 0, 1.52%, 0, 0, 0, 483.33, 4870, 0, 1.52%, 994, 994
1707215636, 0, 17, 30, 0, 0, 1.52%, 0, 0, 0, 495.02, 5019, 0, 1.52%, 994, 994
1707215636, 0, 17, 30, 0, 0, 1.52%, 0, 0, 0, 501.66, 5170, 0, 1.52%, 994, 994
1707215636, 0, 17, 30, 0, 0, 1.52%, 0, 0, 0, 493.38, 5319, 0, 1.52%, 994, 994
1707215637, 0, 17, 30, 0, 0, 1.52%, 0, 0, 0, 478.41, 5463, 0, 1.52%, 994, 994
1707215637, 0, 17, 30, 0, 0, 1.52%, 0, 0, 0, 450.33, 5599, 0, 1.52%, 994, 994
1707215637, 0, 20, 30, 0, 0, 1.52%, 0, 0, 0, 382.06, 5714, 0, 1.52%, 994, 994
1707215638, 0, 24, 30, 0, 0, 1.52%, 0, 0, 0, 511.63, 5868, 0, 1.52%, 994, 994
1707215638, 0, 28, 30, 0, 0, 1.52%, 0, 0, 0, 514.95, 6023, 0, 1.52%, 994, 994
1707215638, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 485.05, 6169, 0, 1.52%, 994, 994
1707215639, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 375.42, 6282, 0, 1.52%, 994, 994
1707215639, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 387.42, 6399, 0, 1.52%, 994, 994
1707215639, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 343.33, 6502, 0, 1.52%, 994, 994
1707215639, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 380.00, 6616, 0, 1.52%, 994, 994
1707215640, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 377.48, 6730, 0, 1.52%, 994, 994
1707215640, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 376.67, 6843, 0, 1.52%, 994, 994
1707215640, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 378.74, 6957, 0, 1.52%, 994, 994
1707215641, 1, 0, 30, 0, 0, 1.52%, 0, 0, 0, 366.67, 7067, 0, 1.52%, 994, 994
1707215641, 1, 1, 30, 0, 0, 1.52%, 0, 0, 0, 506.67, 7219, 0, 1.52%, 994, 994
1707215641, 1, 1, 30, 0, 0, 1.52%, 0, 0, 0, 551.50, 7385, 0, 1.52%, 994, 994
1707215642, 1, 1, 30, 0, 0, 1.52%, 0, 0, 0, 530.00, 7544, 0, 1.52%, 994, 994
1707215642, 1, 1, 30, 0, 0, 1.52%, 0, 0, 0, 523.33, 7701, 0, 1.52%, 994, 994
1707215642, 1, 1, 30, 0, 0, 1.52%, 0, 0, 0, 538.21, 7863, 0, 1.52%, 994, 994
1707215642, 1, 2, 30, 0, 0, 1.52%, 0, 0, 0, 650.00, 8058, 0, 1.52%, 994, 994
1707215643, 1, 2, 30, 0, 0, 1.52%, 0, 0, 0, 826.67, 8306, 0, 1.52%, 994, 994
1707215643, 1, 2, 30, 0, 0, 1.52%, 0, 0, 0, 823.33, 8553, 0, 1.52%, 994, 994
1707215643, 1, 2, 30, 0, 0, 1.52%, 0, 0, 0, 760.00, 8781, 0, 1.52%, 994, 994
1707215644, 1, 3, 30, 0, 0, 1.52%, 0, 0, 0, 866.67, 9041, 0, 1.52%, 994, 994
1707215644, 1, 3, 30, 0, 0, 1.52%, 0, 0, 0, 970.00, 9332, 0, 1.52%, 994, 994
1707215644, 1, 5, 30, 0, 0, 1.52%, 0, 0, 0, 863.33, 9591, 0, 1.52%, 994, 994
1707215645, 1, 6, 30, 0, 0, 1.52%, 0, 0, 0, 826.67, 9839, 0, 1.52%, 994, 994
1707215645, 1, 6, 30, 0, 0, 1.52%, 0, 0, 0, 1063.33, 10158, 0, 1.52%, 994, 994
1707215645, 1, 8, 30, 0, 0, 1.52%, 0, 0, 0, 823.33, 10405, 0, 1.52%, 994, 994
1707215645, 1, 12, 30, 0, 0, 1.52%, 0, 0, 0, 586.09, 10582, 0, 1.52%, 994, 994
1707215646, 1, 16, 30, 0, 0, 1.52%, 0, 0, 0, 496.67, 10731, 0, 1.52%, 994, 994
1707215646, 1, 17, 30, 0, 0, 1.52%, 0, 0, 0, 493.33, 10879, 0, 1.52%, 994, 994
1707215646, 1, 17, 30, 0, 0, 1.52%, 0, 0, 0, 521.59, 11036, 0, 1.52%, 994, 994
1707215647, 1, 17, 30, 0, 0, 1.52%, 0, 0, 0, 426.67, 11164, 0, 1.52%, 994, 994
1707215647, 1, 17, 30, 0, 0, 1.52%, 0, 0, 0, 503.33, 11315, 0, 1.52%, 994, 994
1707215647, 1, 17, 30, 0, 0, 1.52%, 0, 0, 0, 473.33, 11457, 0, 1.52%, 994, 994
1707215648, 1, 17, 30, 0, 0, 1.52%, 0, 0, 0, 513.33, 11611, 0, 1.52%, 994, 994
1707215648, 1, 18, 30, 0, 0, 1.52%, 0, 0, 0, 490.00, 11758, 0, 1.52%, 994, 994
1707215648, 1, 24, 30, 0, 0, 1.52%, 0, 0, 0, 763.33, 11987, 0, 1.52%, 994, 994
1707215648, 1, 29, 30, 0, 0, 1.52%, 0, 0, 0, 706.67, 12199, 0, 1.52%, 994, 994
1707215649, 2, 0, 30, 0, 0, 1.52%, 0, 0, 0, 430.00, 12328, 0, 1.52%, 994, 994
1707215649, 2, 0, 30, 0, 0, 1.52%, 0, 0, 0, 393.33, 12446, 0, 1.52%, 994, 994
1707215649, 2, 0, 30, 0, 0, 1.52%, 0, 0, 0, 390.73, 12564, 0, 1.52%, 994, 994
1707215650, 2, 0, 30, 0, 0, 1.52%, 0, 0, 0, 393.33, 12682, 0, 1.52%, 994, 994
1707215650, 2, 0, 30, 0, 0, 1.52%, 0, 0, 0, 366.67, 12792, 0, 1.52%, 994, 994
1707215650, 2, 0, 30, 0, 0, 1.52%, 0, 0, 0, 392.03, 12910, 0, 1.52%, 994, 994
1707215651, 2, 0, 30, 0, 0, 1.52%, 0, 0, 0, 383.33, 13025, 0, 1.52%, 994, 994
