unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes
1707246410, 0, 0, 1, 0, 0, 1.58%, 0, 0, 0, 0.14, 1, 0, 1.58%, 1037, 1037
1707246411, 0, 0, 9, 0, 0, 1.78%, 0, 0, 0, 45.45, 16, 0, 1.78%, 1167, 1167
1707246411, 0, 0, 22, 0, 0, 2.14%, 0, 0, 0, 156.67, 63, 0, 2.14%, 1403, 1403
1707246411, 0, 0, 34, 0, 0, 2.22%, 0, 0, 0, 326.67, 161, 0, 2.22%, 1458, 1458
1707246411, 0, 0, 43, 0, 0, 2.38%, 0, 0, 0, 368.77, 272, 0, 2.38%, 1557, 1557
1707246412, 0, 0, 47, 0, 0, 2.39%, 0, 0, 0, 423.33, 399, 0, 2.39%, 1567, 1567
1707246412, 0, 0, 59, 0, 0, 2.42%, 0, 0, 0, 421.93, 526, 0, 2.42%, 1583, 1583
1707246412, 0, 1, 61, 0, 0, 2.42%, 0, 0, 0, 420.00, 652, 0, 2.42%, 1583, 1583
1707246413, 0, 1, 64, 0, 0, 2.42%, 0, 0, 0, 504.98, 804, 0, 2.42%, 1583, 1583
1707246413, 0, 1, 67, 0, 0, 2.42%, 0, 0, 0, 415.84, 930, 0, 2.42%, 1583, 1583
1707246413, 0, 1, 71, 0, 0, 2.42%, 0, 0, 0, 478.41, 1074, 0, 2.42%, 1587, 1587
1707246414, 0, 1, 75, 0, 0, 2.43%, 0, 0, 0, 411.96, 1198, 0, 2.43%, 1593, 1593
1707246414, 0, 2, 78, 0, 0, 2.45%, 0, 0, 0, 516.67, 1353, 0, 2.45%, 1606, 1606
1707246414, 0, 2, 82, 0, 0, 2.45%, 0, 0, 0, 534.88, 1514, 0, 2.45%, 1606, 1606
1707246414, 0, 2, 84, 0, 0, 2.45%, 0, 0, 0, 501.66, 1665, 0, 2.45%, 1606, 1606
1707246415, 0, 2, 87, 0, 0, 2.45%, 0, 0, 0, 473.51, 1808, 0, 2.45%, 1606, 1606
1707246415, 0, 4, 90, 0, 0, 2.45%, 0, 0, 0, 523.33, 1965, 0, 2.45%, 1606, 1606
1707246415, 0, 4, 94, 0, 0, 2.45%, 0, 0, 0, 536.67, 2126, 0, 2.45%, 1606, 1606
1707246416, 0, 4, 100, 0, 0, 2.46%, 0, 0, 0, 470.20, 2268, 0, 2.46%, 1610, 1610
1707246416, 0, 4, 104, 0, 0, 2.46%, 0, 0, 0, 566.67, 2438, 0, 2.46%, 1610, 1610
1707246416, 0, 6, 106, 0, 0, 2.46%, 0, 0, 0, 617.94, 2624, 0, 2.46%, 1610, 1610
1707246417, 0, 7, 110, 0, 0, 2.46%, 0, 0, 0, 463.33, 2763, 0, 2.46%, 1610, 1610
1707246417, 0, 7, 112, 0, 0, 2.46%, 0, 0, 0, 538.21, 2925, 0, 2.46%, 1615, 1615
1707246417, 0, 7, 112, 0, 0, 2.46%, 0, 0, 0, 584.72, 3101, 0, 2.46%, 1615, 1615
1707246417, 0, 7, 116, 0, 0, 2.46%, 0, 0, 0, 566.67, 3271, 0, 2.46%, 1615, 1615
