,all_covered_probes_x,passed_seconds,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,row_wise_mean,unix_time
0,1154,0,1023,1123,1046,1171,1037,1226,1025,1168,932,1090.5,1707227828
1,1286,1,1355,1146,1356,1577,1167,1237,1074,1319,1468,1298.5,1707227829
2,1435,1,1505,1246,1381,1595,1403,1255,1083,1537,1589,1402.9,1707227829
3,1436,1,1555,1359,1507,1600,1458,1256,1083,1552,1596,1440.2,1707227829
4,1570,2,1582,1534,1545,1600,1567,1485,1223,1575,1600,1528.1,1707227830
5,1570,2,1604,1540,1546,1600,1583,1485,1249,1575,1620,1537.2,1707227830
6,1579,2,1604,1545,1555,1600,1583,1485,1292,1588,1620,1545.1,1707227830
7,1579,3,1604,1546,1556,1607,1583,1486,1331,1589,1620,1550.1,1707227831
8,1581,3,1606,1558,1569,1611,1583,1498,1399,1590,1627,1562.2,1707227831
9,1595,3,1606,1558,1569,1616,1587,1510,1408,1590,1627,1566.6,1707227831
10,1599,4,1615,1558,1573,1617,1593,1528,1408,1590,1627,1570.8,1707227832
11,1599,4,1615,1578,1574,1617,1606,1528,1410,1590,1627,1574.4,1707227832
12,1612,4,1615,1578,1575,1624,1606,1535,1511,1590,1627,1587.3,1707227832
13,1612,5,1615,1579,1582,1624,1606,1535,1515,1591,1627,1588.6,1707227833
14,1612,5,1615,1588,1582,1624,1606,1535,1515,1591,1627,1589.5,1707227833
15,1622,5,1615,1588,1582,1624,1606,1536,1517,1598,1627,1591.5,1707227833
16,1622,6,1615,1588,1582,1624,1610,1536,1517,1599,1627,1592.0,1707227834
17,1622,6,1615,1591,1582,1624,1610,1536,1517,1599,1627,1592.3,1707227834
18,1622,6,1615,1591,1588,1624,1610,1536,1538,1599,1627,1595.0,1707227834
19,1622,7,1615,1592,1588,1624,1610,1552,1538,1599,1628,1596.8,1707227835
20,1622,7,1616,1592,1588,1624,1615,1553,1539,1599,1628,1597.6,1707227835
21,1622,7,1616,1592,1588,1624,1615,1553,1540,1599,1628,1597.7,1707227835
22,1622,8,1619,1592,1588,1624,1615,1553,1540,1599,1628,1598.0,1707227836
23,1622,8,1619,1592,1591,1624,1615,1553,1540,1599,1628,1598.3,1707227836
24,1625,8,1619,1592,1591,1624,1615,1585,1540,1599,1628,1601.8,1707227836
25,1625,9,1626,1592,1591,1624,1615,1585,1547,1599,1628,1603.2,1707227837
26,1626,9,1626,1592,1591,1624,1615,1585,1547,1599,1628,1603.3,1707227837
27,1626,9,1626,1593,1591,1624,1615,1585,1572,1600,1628,1606.0,1707227837
28,1626,10,1626,1593,1591,1624,1615,1597,1572,1600,1628,1607.2,1707227838
29,1626,10,1626,1593,1591,1625,1615,1597,1585,1608,1628,1609.4,1707227838
30,1626,10,1626,1593,1591,1625,1615,1598,1585,1608,1628,1609.5,1707227838
