,all_covered_probes_x,passed_seconds,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,row_wise_mean,unix_time
0,189,0,434.0,188.0,306.0,428.0,188.0,188.0,309.0,306.0,307.0,284.3,1710291368
1,511,1,1010.0,1018.0,759.0,579.0,563.0,532.0,519.0,544.0,588.0,662.3,1710291369
2,587,1,1016.0,1021.0,761.0,581.0,786.0,762.0,550.0,763.0,588.0,741.5,1710291369
3,598,1,1028.0,1031.0,767.0,1003.0,1039.0,787.0,588.0,768.0,772.0,838.1,1710291369
4,781,2,1028.0,1041.0,992.0,1059.0,1057.0,800.0,786.0,796.0,780.0,912.0,1710291370
5,790,2,1032.0,1046.0,994.0,1061.0,1069.0,1016.0,792.0,1023.0,780.0,960.3,1710291370
6,807,2,1041.0,1054.0,1002.0,1061.0,1072.0,1023.0,799.0,1023.0,780.0,966.2,1710291370
7,1067,2,1041.0,1055.0,1002.0,1061.0,1072.0,1023.0,809.0,1023.0,782.0,993.5,1710291370
8,1067,3,1041.0,1064.0,1008.0,1067.0,1078.0,1033.0,822.0,1055.0,791.0,1002.6,1710291371
9,1067,3,1047.0,1064.0,1040.0,1067.0,1082.0,1033.0,876.0,1055.0,1026.0,1035.7,1710291371
10,1069,3,1054.0,1070.0,1047.0,1067.0,1082.0,1033.0,881.0,1061.0,1034.0,1039.8,1710291371
11,1069,4,1063.0,1072.0,1054.0,1069.0,1082.0,1033.0,881.0,1062.0,1042.0,1042.7,1710291372
12,1070,4,1076.0,1072.0,1058.0,1069.0,1089.0,1038.0,881.0,1063.0,1042.0,1045.8,1710291372
13,1071,4,1082.0,1072.0,1061.0,1069.0,1089.0,1047.0,1061.0,1072.0,1058.0,1068.2,1710291372
14,1071,5,1088.0,1072.0,1061.0,1069.0,1089.0,1063.0,1061.0,1074.0,1071.0,1071.9,1710291373
15,1071,5,1088.0,1087.0,1068.0,1070.0,1089.0,1063.0,1067.0,1074.0,1075.0,1075.2,1710291373
16,1071,5,1091.0,1092.0,1068.0,1070.0,1089.0,1074.0,1068.0,1077.0,1075.0,1077.5,1710291373
17,1071,5,1091.0,1092.0,1068.0,1070.0,1089.0,1074.0,1068.0,1077.0,1075.0,1077.5,1710291373
18,1071,6,1091.0,1092.0,1068.0,1070.0,1089.0,1074.0,1071.0,1077.0,1075.0,1077.8,1710291374
19,1071,6,1095.0,1092.0,1073.0,1070.0,1089.0,1074.0,1071.0,1078.0,1075.0,1078.8,1710291374
20,1071,6,1095.0,1092.0,1073.0,1070.0,1089.0,1075.0,1076.0,1078.0,1075.0,1079.4,1710291374
21,1077,7,1097.0,1092.0,1080.0,1070.0,1089.0,1075.0,1078.0,1078.0,1075.0,1081.1,1710291375
22,1077,7,1097.0,1092.0,1080.0,1070.0,1089.0,1076.0,1084.0,1085.0,1075.0,1082.5,1710291375
23,1082,7,1097.0,1092.0,1080.0,1070.0,1089.0,1076.0,1084.0,1092.0,1075.0,1083.7,1710291375
24,1086,8,1104.0,1092.0,1080.0,1070.0,1093.0,1076.0,1084.0,1095.0,1075.0,1085.5,1710291376
25,1086,8,1104.0,1092.0,1080.0,1075.0,1094.0,1076.0,1084.0,1095.0,1075.0,1086.1,1710291376
26,1086,8,1104.0,1092.0,1080.0,1075.0,1094.0,1076.0,1084.0,1095.0,1075.0,1086.1,1710291376
27,1086,8,1104.0,1092.0,1080.0,1075.0,1094.0,1076.0,1084.0,1095.0,1075.0,1086.1,1710291376
28,1086,9,1104.0,1092.0,1080.0,1077.0,1094.0,1086.0,1084.0,1095.0,1075.0,1087.3,1710291377
29,1086,9,1104.0,1092.0,1080.0,1081.0,1101.0,1086.0,1084.0,1095.0,1076.0,1088.5,1710291377
30,1086,9,1104.0,1092.0,1080.0,1081.0,1101.0,1086.0,1086.0,1095.0,1076.0,1088.7,1710291377
31,1086,10,1104.0,1092.0,1080.0,1082.0,1101.0,1087.0,1086.0,1095.0,1076.0,1088.9,1710291378
32,1088,10,1104.0,1092.0,1080.0,1084.0,1101.0,1088.0,1087.0,1095.0,1076.0,1089.5,1710291378
33,1088,10,1104.0,1095.0,1080.0,1084.0,1101.0,1088.0,1087.0,1095.0,1079.0,1090.1,1710291378
34,1088,11,1104.0,1095.0,1080.0,1084.0,1101.0,1088.0,1087.0,1095.0,1079.0,1090.1,1710291379
35,1091,11,1104.0,1095.0,1080.0,1084.0,1104.0,1088.0,1087.0,1095.0,1079.0,1090.7,1710291379
36,1091,11,1104.0,1095.0,1080.0,1084.0,1104.0,1088.0,1088.0,1095.0,1079.0,1090.8,1710291379
37,1091,11,1104.0,1095.0,1080.0,1084.0,1104.0,1088.0,1088.0,1095.0,1079.0,1090.8,1710291379
38,1094,12,1104.0,1095.0,1085.0,1084.0,1104.0,1088.0,1088.0,1095.0,1085.0,1092.2,1710291380
39,1094,12,1104.0,1095.0,1085.0,1084.0,1104.0,1088.0,1094.0,1095.0,1085.0,1092.8,1710291380
40,1094,12,1104.0,1095.0,1085.0,1084.0,1104.0,1088.0,1095.0,1095.0,1090.0,1093.4,1710291380
41,1094,13,1104.0,1095.0,1085.0,1092.0,1104.0,1088.0,1095.0,1102.0,1090.0,1094.9,1710291381
42,1094,13,1104.0,1095.0,1085.0,1092.0,1104.0,1088.0,1095.0,1102.0,1090.0,1094.9,1710291381
43,1094,13,1104.0,1095.0,1085.0,1092.0,1104.0,1088.0,1095.0,1102.0,1090.0,1094.9,1710291381
44,1094,14,1104.0,1102.0,1085.0,1092.0,1104.0,1088.0,1095.0,1102.0,1090.0,1095.6,1710291382
45,1094,14,1104.0,1102.0,1085.0,1097.0,1104.0,1088.0,1102.0,1102.0,1097.0,1097.5,1710291382
46,1094,14,1104.0,1102.0,1085.0,1097.0,1104.0,1088.0,1102.0,1102.0,1097.0,1097.5,1710291382
47,1094,14,1104.0,1102.0,1085.0,1097.0,1104.0,1088.0,1102.0,1102.0,1097.0,1097.5,1710291382
48,1094,15,1104.0,1102.0,1085.0,1097.0,1104.0,1088.0,1102.0,1102.0,1097.0,1097.5,1710291383
49,1094,15,1104.0,1102.0,1085.0,1097.0,1104.0,1094.0,1102.0,1102.0,1097.0,1098.1,1710291383
50,1094,15,1104.0,1102.0,1085.0,1103.0,1104.0,1094.0,1102.0,1102.0,1097.0,1098.7,1710291383
51,1094,16,1104.0,1102.0,1085.0,1103.0,1104.0,1094.0,1102.0,1102.0,1097.0,1098.7,1710291384
52,1101,16,1104.0,1102.0,1085.0,1103.0,1104.0,1094.0,1102.0,1102.0,1097.0,1099.4,1710291384
53,1101,16,1104.0,1102.0,1097.0,1103.0,1104.0,1094.0,1102.0,1102.0,1097.0,1100.6,1710291384
54,1101,17,1104.0,1102.0,1097.0,1103.0,1104.0,1094.0,1102.0,1102.0,1097.0,1100.6,1710291385
55,1101,17,1104.0,1102.0,1097.0,1109.0,1104.0,1094.0,1102.0,1102.0,1097.0,1101.2,1710291385
56,1101,17,1104.0,1102.0,1097.0,1109.0,1104.0,1094.0,1102.0,1102.0,1097.0,1101.2,1710291385
57,1101,17,1104.0,1102.0,1097.0,1109.0,1104.0,1094.0,1102.0,1102.0,1097.0,1101.2,1710291385
58,1102,18,1104.0,1102.0,1097.0,1109.0,1104.0,1094.0,1102.0,1102.0,1097.0,1101.3,1710291386
59,1102,18,1104.0,1102.0,1097.0,1109.0,1104.0,1101.0,1102.0,1102.0,1097.0,1102.0,1710291386
60,1102,18,1104.0,1102.0,1097.0,1109.0,1104.0,1101.0,1104.0,1102.0,1097.0,1102.2,1710291386
61,1102,19,1104.0,1102.0,1097.0,1109.0,1104.0,1101.0,1104.0,1102.0,1104.0,1102.9,1710291387
62,1108,19,1104.0,1102.0,1099.0,1109.0,1104.0,1101.0,1104.0,1102.0,1104.0,1103.7,1710291387
63,1108,19,1104.0,1102.0,1099.0,1109.0,1104.0,1101.0,1104.0,1102.0,1104.0,1103.7,1710291387
64,1108,20,1104.0,1102.0,1099.0,1110.0,1104.0,1103.0,1104.0,1102.0,1110.0,1104.6,1710291388
65,1108,20,1104.0,1102.0,1099.0,1110.0,1104.0,1103.0,1104.0,1102.0,1110.0,1104.6,1710291388
66,1108,20,1104.0,1102.0,1102.0,1110.0,1104.0,1103.0,1104.0,1102.0,1110.0,1104.9,1710291388
67,1108,20,1104.0,1102.0,1102.0,1110.0,1104.0,1103.0,1104.0,1102.0,1110.0,1104.9,1710291388
68,1108,21,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291389
69,1108,21,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291389
70,1108,21,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291389
71,1108,22,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291390
72,1108,22,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291390
73,1108,22,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291390
74,1108,23,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291391
75,1108,23,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291391
76,1108,23,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291391
77,1108,23,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291391
78,1108,24,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291392
79,1108,24,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291392
80,1108,24,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291392
81,1108,25,1104.0,1102.0,1102.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.4,1710291393
82,1108,25,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291393
83,1108,25,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291393
84,1108,26,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291394
85,1108,26,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291394
86,1108,26,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291394
87,1108,26,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291394
88,1108,27,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291395
89,1108,27,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291395
90,1108,27,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291395
91,1108,28,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291396
92,1108,28,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291396
93,1108,28,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291396
94,1108,29,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291397
95,1108,29,1104.0,1102.0,1104.0,1110.0,1104.0,1108.0,1104.0,1102.0,1110.0,1105.6,1710291397
96,1108,29,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291397
97,1108,29,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291397
98,1108,30,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291398
99,1108,30,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291398
100,1108,30,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291398
101,1108,31,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291399
102,1108,31,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291399
103,1108,31,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291399
104,1108,32,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291400
105,1108,32,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291400
106,1108,32,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291400
107,1108,32,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291400
108,1108,33,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291401
109,1108,33,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291401
110,1108,33,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291401
111,1108,34,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291402
112,1108,34,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291402
113,1108,34,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291402
114,1108,35,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291403
115,1108,35,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291403
116,1108,35,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291403
117,1108,35,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291403
118,1108,36,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291404
119,1108,36,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291404
120,1108,36,1104.0,1102.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1105.9,1710291404
121,1108,37,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291405
122,1108,37,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291405
123,1108,37,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291405
124,1108,38,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291406
125,1108,38,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291406
126,1108,38,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291406
127,1108,38,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291406
128,1108,39,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291407
129,1108,39,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291407
130,1108,39,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291407
131,1108,40,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291408
132,1108,40,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291408
133,1108,40,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291408
134,1108,41,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291409
135,1108,41,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291409
136,1108,41,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291409
137,1108,41,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291409
138,1108,42,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291410
139,1108,42,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291410
140,1108,42,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291410
141,1108,43,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291411
142,1108,43,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291411
143,1108,43,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291411
144,1108,44,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291412
145,1108,44,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291412
146,1108,44,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291412
147,1108,44,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291412
148,1108,45,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291413
149,1108,45,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291413
150,1108,45,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291413
151,1108,46,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291414
152,1108,46,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291414
153,1108,46,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291414
154,1108,47,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291415
155,1108,47,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291415
156,1108,47,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291415
157,1108,47,1104.0,1108.0,1104.0,1110.0,1104.0,1110.0,1104.0,1102.0,1111.0,1106.5,1710291415
