unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes
1710340180, 0, 0, 1, 0, 0, 0.29%, 0, 0, 0, 1.28, 0, 1, 0.00%, 188, 0
1710340180, 0, 0, 20, 0, 0, 0.84%, 0, 0, 0, 303.63, 0, 93, 0.00%, 549, 0
1710340181, 0, 0, 31, 0, 0, 0.86%, 0, 0, 0, 683.33, 0, 298, 0.00%, 563, 0
1710340181, 0, 1, 39, 0, 0, 1.20%, 0, 0, 0, 627.91, 0, 487, 0.00%, 786, 0
1710340181, 0, 2, 50, 0, 0, 1.59%, 0, 0, 0, 746.67, 2, 709, 1.34%, 1039, 875
1710340181, 0, 3, 55, 0, 0, 1.60%, 0, 0, 0, 1003.33, 5, 1007, 1.34%, 1046, 877
1710340182, 0, 4, 59, 0, 0, 1.61%, 0, 0, 0, 1063.33, 5, 1326, 1.34%, 1057, 877
1710340182, 0, 6, 62, 0, 0, 1.63%, 0, 0, 0, 1006.67, 6, 1627, 1.34%, 1069, 877
1710340182, 0, 7, 65, 0, 0, 1.64%, 0, 0, 0, 1123.33, 6, 1964, 1.34%, 1072, 877
1710340183, 0, 9, 67, 0, 0, 1.64%, 0, 0, 0, 1233.33, 6, 2334, 1.34%, 1078, 877
1710340183, 0, 11, 69, 0, 0, 1.65%, 0, 0, 0, 1276.67, 6, 2717, 1.34%, 1082, 877
1710340183, 0, 14, 70, 0, 0, 1.65%, 0, 0, 0, 1400.00, 6, 3137, 1.34%, 1082, 877
1710340184, 0, 16, 70, 0, 0, 1.65%, 0, 0, 0, 1400.00, 6, 3557, 1.34%, 1082, 877
1710340184, 0, 19, 72, 0, 0, 1.66%, 0, 0, 0, 1400.00, 7, 3976, 1.37%, 1089, 898
1710340184, 0, 22, 74, 0, 0, 1.66%, 0, 0, 0, 1433.33, 7, 4406, 1.37%, 1089, 898
1710340184, 0, 27, 75, 0, 0, 1.66%, 0, 0, 0, 1356.67, 7, 4813, 1.37%, 1089, 898
1710340185, 0, 31, 75, 0, 0, 1.66%, 0, 0, 0, 1263.33, 7, 5192, 1.37%, 1089, 898
1710340185, 0, 32, 77, 0, 0, 1.66%, 0, 0, 0, 1260.00, 7, 5570, 1.37%, 1089, 898
1710340185, 0, 38, 78, 0, 0, 1.66%, 0, 0, 0, 1336.67, 8, 5970, 1.43%, 1089, 939
1710340186, 0, 38, 83, 0, 0, 1.66%, 0, 0, 0, 1113.33, 13, 6299, 1.45%, 1089, 948
1710340186, 0, 39, 86, 0, 0, 1.66%, 0, 0, 0, 1106.67, 15, 6629, 1.45%, 1089, 948
1710340186, 0, 40, 87, 0, 0, 1.66%, 0, 0, 0, 1440.00, 15, 7061, 1.45%, 1089, 948
1710340187, 0, 41, 89, 0, 0, 1.66%, 0, 0, 0, 1303.33, 47, 7420, 1.45%, 1089, 948
1710340187, 0, 41, 91, 0, 0, 1.66%, 0, 0, 0, 1193.33, 92, 7733, 1.45%, 1089, 948
1710340187, 0, 48, 91, 0, 0, 1.66%, 0, 0, 0, 1510.00, 98, 8180, 1.45%, 1089, 948
1710340187, 0, 49, 94, 0, 0, 1.66%, 0, 0, 0, 1316.67, 127, 8546, 1.48%, 1090, 967
1710340188, 0, 49, 97, 0, 0, 1.67%, 0, 0, 0, 1053.33, 180, 8809, 1.50%, 1093, 980
1710340188, 0, 50, 98, 0, 0, 1.67%, 0, 0, 0, 1180.00, 236, 9107, 1.50%, 1094, 980
1710340188, 0, 50, 98, 0, 0, 1.67%, 0, 0, 0, 1293.33, 292, 9439, 1.50%, 1094, 980
1710340189, 0, 50, 98, 0, 0, 1.67%, 0, 0, 0, 1166.67, 345, 9736, 1.50%, 1094, 980
1710340189, 0, 54, 99, 0, 0, 1.68%, 0, 0, 0, 1370.00, 349, 10143, 1.52%, 1101, 996
1710340189, 0, 55, 102, 0, 0, 1.68%, 0, 0, 0, 1303.33, 356, 10527, 1.52%, 1101, 999
1710340190, 0, 55, 104, 0, 0, 1.68%, 0, 0, 0, 1182.72, 375, 10864, 1.52%, 1101, 999
1710340190, 0, 61, 107, 0, 0, 1.68%, 0, 0, 0, 1293.33, 376, 11251, 1.52%, 1101, 999
1710340190, 0, 61, 111, 0, 0, 1.68%, 0, 0, 0, 1069.77, 381, 11568, 1.54%, 1101, 1011
1710340190, 0, 62, 112, 0, 0, 1.68%, 0, 0, 0, 1140.00, 382, 11909, 1.54%, 1101, 1011
1710340191, 0, 62, 114, 0, 0, 1.68%, 0, 0, 0, 1210.00, 386, 12268, 1.54%, 1101, 1011
1710340191, 0, 65, 115, 0, 0, 1.68%, 0, 0, 0, 1250.00, 387, 12642, 1.54%, 1104, 1011
1710340191, 0, 70, 116, 0, 0, 1.68%, 0, 0, 0, 1306.67, 387, 13034, 1.54%, 1104, 1011
1710340192, 0, 71, 116, 0, 0, 1.68%, 0, 0, 0, 1123.33, 464, 13294, 1.54%, 1104, 1011
1710340192, 0, 71, 118, 0, 0, 1.68%, 0, 0, 0, 1013.33, 548, 13514, 1.54%, 1104, 1011
1710340192, 0, 77, 120, 0, 0, 1.68%, 0, 0, 0, 1013.20, 618, 13751, 1.54%, 1104, 1011
1710340193, 0, 77, 120, 0, 0, 1.68%, 0, 0, 0, 1010.00, 704, 13968, 1.54%, 1104, 1011
1710340193, 0, 77, 120, 0, 0, 1.68%, 0, 0, 0, 913.62, 794, 14153, 1.54%, 1104, 1011
1710340193, 0, 82, 123, 0, 0, 1.68%, 0, 0, 0, 1003.33, 861, 14387, 1.54%, 1104, 1011
1710340193, 0, 82, 123, 0, 0, 1.68%, 0, 0, 0, 1006.64, 940, 14611, 1.54%, 1104, 1011
1710340194, 0, 82, 123, 0, 0, 1.68%, 0, 0, 0, 1046.67, 1031, 14834, 1.54%, 1104, 1011
1710340194, 0, 89, 125, 0, 0, 1.68%, 0, 0, 0, 1086.67, 1086, 15105, 1.54%, 1104, 1011
1710340194, 0, 91, 125, 0, 0, 1.68%, 0, 0, 0, 1096.67, 1154, 15366, 1.54%, 1104, 1011
1710340195, 0, 91, 125, 0, 0, 1.68%, 0, 0, 0, 897.20, 1225, 15583, 1.54%, 1104, 1011
1710340195, 0, 93, 126, 0, 0, 1.68%, 0, 0, 0, 1136.67, 1282, 15867, 1.54%, 1104, 1011
1710340195, 0, 94, 126, 0, 0, 1.68%, 0, 0, 0, 1353.33, 1293, 16262, 1.54%, 1104, 1011
1710340196, 0, 95, 126, 0, 0, 1.68%, 0, 0, 0, 1163.33, 1337, 16567, 1.54%, 1104, 1011
1710340196, 0, 95, 126, 0, 0, 1.68%, 0, 0, 0, 1186.67, 1400, 16860, 1.54%, 1104, 1011
