,all_covered_probes_x,passed_seconds,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,all_covered_probes_x,all_covered_probes_y,row_wise_mean,unix_time
0,161,0,163.0,134.0,134.0,163.0,134.0,134.0,134.0,138.0,163.0,145.8,1710240444
1,184,1,202.0,200.0,205.0,184.0,184.0,185.0,203.0,203.0,181.0,193.1,1710240445
2,185,1,202.0,213.0,207.0,206.0,184.0,185.0,203.0,203.0,205.0,199.3,1710240445
3,206,1,202.0,214.0,215.0,206.0,185.0,185.0,207.0,206.0,206.0,203.2,1710240445
4,206,1,202.0,214.0,215.0,206.0,185.0,205.0,207.0,206.0,206.0,205.2,1710240445
5,206,2,206.0,215.0,216.0,206.0,203.0,206.0,207.0,206.0,206.0,207.7,1710240446
6,206,2,206.0,215.0,216.0,206.0,206.0,206.0,207.0,206.0,206.0,208.0,1710240446
7,206,2,215.0,215.0,216.0,206.0,206.0,206.0,207.0,206.0,206.0,208.9,1710240446
8,207,3,215.0,220.0,216.0,206.0,207.0,207.0,207.0,206.0,206.0,209.7,1710240447
9,207,3,215.0,221.0,216.0,206.0,207.0,207.0,207.0,207.0,215.0,210.8,1710240447
10,207,3,215.0,221.0,216.0,216.0,207.0,207.0,215.0,215.0,216.0,213.5,1710240447
11,207,4,216.0,221.0,216.0,216.0,215.0,215.0,216.0,216.0,216.0,215.4,1710240448
12,207,4,216.0,221.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,215.6,1710240448
13,207,4,216.0,221.0,220.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,1710240448
14,216,4,216.0,221.0,220.0,216.0,216.0,216.0,216.0,216.0,216.0,216.9,1710240448
15,216,5,216.0,240.0,220.0,216.0,216.0,216.0,216.0,216.0,216.0,218.8,1710240449
16,216,5,216.0,242.0,220.0,237.0,216.0,216.0,216.0,216.0,236.0,223.1,1710240449
17,216,5,216.0,243.0,220.0,240.0,216.0,216.0,216.0,216.0,236.0,223.5,1710240449
18,216,6,216.0,243.0,223.0,394.0,216.0,216.0,216.0,216.0,238.0,239.4,1710240450
19,216,6,216.0,247.0,397.0,425.0,216.0,216.0,216.0,216.0,244.0,260.9,1710240450
20,216,6,216.0,247.0,399.0,425.0,216.0,216.0,216.0,216.0,244.0,261.1,1710240450
21,216,7,216.0,247.0,400.0,549.0,216.0,216.0,216.0,216.0,421.0,291.3,1710240451
22,216,7,216.0,399.0,503.0,560.0,216.0,216.0,216.0,216.0,422.0,318.0,1710240451
23,216,7,216.0,399.0,548.0,560.0,216.0,216.0,216.0,216.0,445.0,324.8,1710240451
24,216,7,216.0,400.0,548.0,560.0,216.0,216.0,216.0,216.0,445.0,324.9,1710240451
25,216,8,216.0,526.0,569.0,571.0,216.0,216.0,216.0,216.0,555.0,351.7,1710240452
26,216,8,216.0,550.0,569.0,571.0,216.0,216.0,216.0,216.0,579.0,356.5,1710240452
27,216,8,216.0,565.0,574.0,584.0,216.0,216.0,216.0,216.0,580.0,359.9,1710240452
28,216,9,216.0,578.0,615.0,584.0,216.0,216.0,216.0,216.0,604.0,367.7,1710240453
29,216,9,216.0,591.0,632.0,601.0,216.0,216.0,216.0,216.0,630.0,375.0,1710240453
30,216,9,216.0,597.0,642.0,608.0,216.0,216.0,216.0,216.0,630.0,377.3,1710240453
31,216,10,216.0,597.0,642.0,618.0,216.0,216.0,216.0,216.0,635.0,378.8,1710240454
32,216,10,216.0,600.0,644.0,618.0,216.0,216.0,216.0,216.0,637.0,379.5,1710240454
33,216,10,216.0,604.0,644.0,618.0,216.0,216.0,216.0,216.0,637.0,379.9,1710240454
34,216,10,216.0,604.0,644.0,622.0,216.0,216.0,216.0,216.0,637.0,380.3,1710240454
35,216,11,216.0,604.0,644.0,639.0,216.0,216.0,216.0,216.0,637.0,382.0,1710240455
36,216,11,216.0,618.0,645.0,650.0,216.0,216.0,216.0,216.0,638.0,384.7,1710240455
37,216,11,216.0,619.0,645.0,650.0,216.0,216.0,216.0,216.0,638.0,384.8,1710240455
38,216,12,216.0,632.0,651.0,657.0,216.0,216.0,216.0,216.0,640.0,387.6,1710240456
39,216,12,216.0,632.0,651.0,657.0,216.0,216.0,216.0,216.0,640.0,387.6,1710240456
40,216,12,216.0,634.0,651.0,657.0,216.0,216.0,216.0,216.0,640.0,387.8,1710240456
41,216,13,216.0,635.0,651.0,658.0,216.0,216.0,216.0,216.0,641.0,388.1,1710240457
42,216,13,216.0,635.0,651.0,658.0,216.0,216.0,216.0,216.0,641.0,388.1,1710240457
43,216,13,216.0,635.0,651.0,658.0,216.0,216.0,216.0,216.0,641.0,388.1,1710240457
44,216,13,216.0,635.0,651.0,664.0,216.0,216.0,216.0,216.0,641.0,388.7,1710240457
45,216,14,216.0,635.0,661.0,664.0,216.0,216.0,216.0,216.0,641.0,389.7,1710240458
46,216,14,216.0,635.0,661.0,671.0,216.0,216.0,220.0,239.0,641.0,393.1,1710240458
47,216,14,221.0,635.0,661.0,671.0,216.0,216.0,220.0,245.0,641.0,394.2,1710240458
48,216,15,221.0,635.0,661.0,671.0,216.0,216.0,220.0,245.0,641.0,394.2,1710240459
49,216,15,221.0,635.0,662.0,671.0,216.0,216.0,241.0,247.0,641.0,396.6,1710240459
50,216,15,223.0,635.0,662.0,671.0,216.0,216.0,243.0,247.0,641.0,397.0,1710240459
51,216,16,223.0,635.0,662.0,672.0,216.0,216.0,243.0,248.0,645.0,397.6,1710240460
52,216,16,243.0,635.0,669.0,672.0,216.0,216.0,243.0,248.0,645.0,400.3,1710240460
53,216,16,243.0,635.0,669.0,672.0,216.0,216.0,243.0,253.0,645.0,400.8,1710240460
54,216,16,243.0,635.0,669.0,672.0,216.0,216.0,243.0,253.0,645.0,400.8,1710240460
55,216,17,246.0,637.0,669.0,672.0,216.0,216.0,243.0,253.0,645.0,401.3,1710240461
56,242,17,345.0,637.0,669.0,672.0,216.0,216.0,243.0,253.0,659.0,415.2,1710240461
57,242,17,346.0,637.0,669.0,672.0,216.0,216.0,243.0,479.0,666.0,438.6,1710240461
58,244,18,346.0,647.0,669.0,672.0,221.0,216.0,243.0,480.0,666.0,440.4,1710240462
59,394,18,497.0,647.0,669.0,672.0,221.0,216.0,243.0,627.0,666.0,485.2,1710240462
60,394,18,570.0,647.0,669.0,672.0,239.0,216.0,243.0,673.0,666.0,498.9,1710240462
61,394,19,595.0,649.0,703.0,672.0,394.0,216.0,243.0,674.0,666.0,520.6,1710240463
62,394,19,635.0,662.0,712.0,672.0,396.0,216.0,243.0,701.0,666.0,529.7,1710240463
63,543,19,658.0,662.0,712.0,672.0,396.0,216.0,243.0,701.0,666.0,546.9,1710240463
64,570,19,658.0,662.0,712.0,672.0,396.0,216.0,243.0,706.0,666.0,550.1,1710240463
65,576,20,670.0,662.0,712.0,672.0,488.0,216.0,243.0,706.0,666.0,561.1,1710240464
66,589,20,677.0,662.0,713.0,672.0,517.0,216.0,243.0,706.0,666.0,566.1,1710240464
67,591,20,681.0,662.0,713.0,672.0,552.0,216.0,243.0,708.0,666.0,570.4,1710240464
68,591,21,682.0,662.0,713.0,672.0,560.0,216.0,249.0,715.0,683.0,574.3,1710240465
69,602,21,682.0,662.0,714.0,672.0,560.0,216.0,249.0,717.0,683.0,575.7,1710240465
70,605,21,684.0,662.0,714.0,672.0,562.0,216.0,250.0,723.0,683.0,577.1,1710240465
71,616,22,684.0,662.0,714.0,672.0,605.0,216.0,254.0,723.0,683.0,582.9,1710240466
72,616,22,686.0,666.0,714.0,672.0,606.0,216.0,256.0,723.0,683.0,583.8,1710240466
73,630,22,686.0,666.0,714.0,672.0,606.0,216.0,257.0,723.0,683.0,585.3,1710240466
74,637,22,686.0,666.0,714.0,672.0,606.0,216.0,257.0,727.0,683.0,586.4,1710240466
75,637,23,686.0,666.0,717.0,672.0,614.0,216.0,257.0,727.0,683.0,587.5,1710240467
76,637,23,686.0,666.0,717.0,672.0,623.0,216.0,257.0,727.0,683.0,588.4,1710240467
77,637,23,686.0,666.0,717.0,672.0,644.0,216.0,257.0,727.0,683.0,590.5,1710240467
78,638,24,686.0,666.0,717.0,672.0,652.0,216.0,257.0,727.0,683.0,591.4,1710240468
79,638,24,692.0,666.0,717.0,672.0,654.0,216.0,405.0,727.0,683.0,607.0,1710240468
80,640,24,692.0,666.0,717.0,672.0,657.0,216.0,405.0,727.0,683.0,607.5,1710240468
81,640,25,695.0,666.0,717.0,672.0,671.0,216.0,405.0,727.0,683.0,609.2,1710240469
82,641,25,695.0,666.0,717.0,672.0,671.0,216.0,405.0,727.0,683.0,609.3,1710240469
83,641,25,695.0,666.0,717.0,672.0,672.0,216.0,405.0,727.0,683.0,609.4,1710240469
84,643,25,695.0,666.0,717.0,672.0,672.0,216.0,405.0,727.0,683.0,609.6,1710240469
85,650,26,695.0,666.0,717.0,672.0,673.0,216.0,547.0,727.0,683.0,624.6,1710240470
86,650,26,695.0,666.0,717.0,672.0,687.0,216.0,589.0,727.0,683.0,630.2,1710240470
87,650,26,695.0,666.0,717.0,672.0,687.0,216.0,599.0,727.0,683.0,631.2,1710240470
88,650,27,695.0,666.0,717.0,672.0,687.0,216.0,605.0,727.0,683.0,631.8,1710240471
89,650,27,695.0,669.0,717.0,672.0,687.0,216.0,610.0,727.0,683.0,632.6,1710240471
90,650,27,695.0,669.0,717.0,672.0,687.0,216.0,610.0,727.0,683.0,632.6,1710240471
91,650,28,695.0,670.0,717.0,672.0,687.0,216.0,610.0,727.0,683.0,632.7,1710240472
92,650,28,695.0,670.0,730.0,672.0,687.0,216.0,610.0,727.0,683.0,634.0,1710240472
93,654,28,695.0,671.0,730.0,672.0,687.0,216.0,610.0,727.0,683.0,634.5,1710240472
94,654,28,695.0,671.0,730.0,672.0,687.0,216.0,610.0,727.0,683.0,634.5,1710240472
95,654,29,695.0,671.0,730.0,672.0,687.0,216.0,610.0,727.0,683.0,634.5,1710240473
96,654,29,695.0,671.0,730.0,672.0,687.0,216.0,610.0,727.0,683.0,634.5,1710240473
97,655,29,695.0,671.0,730.0,675.0,687.0,216.0,610.0,727.0,683.0,634.9,1710240473
98,656,30,695.0,671.0,730.0,675.0,687.0,216.0,610.0,727.0,683.0,635.0,1710240474
99,656,30,695.0,671.0,730.0,676.0,687.0,216.0,610.0,727.0,683.0,635.1,1710240474
100,656,30,695.0,671.0,730.0,676.0,687.0,216.0,610.0,727.0,683.0,635.1,1710240474
