unix_time,cycles_done,cur_path,paths_total,pending_total,pending_favs,map_size,unique_crashes,unique_hangs,max_depth,execs_per_sec,valid_inputs,invalid_inputs,valid_cov,all_covered_probes,valid_covered_probes
1710253766, 0, 0, 1, 0, 0, 0.20%, 0, 0, 0, 1.16, 0, 1, 0.00%, 134, 0
1710253766, 0, 0, 9, 0, 0, 0.31%, 0, 0, 0, 700.00, 0, 211, 0.00%, 202, 0
1710253766, 0, 0, 10, 0, 0, 0.31%, 0, 0, 0, 1013.33, 0, 515, 0.00%, 203, 0
1710253767, 0, 4, 10, 0, 0, 0.31%, 0, 0, 0, 1270.00, 0, 896, 0.00%, 203, 0
1710253767, 0, 4, 10, 0, 0, 0.31%, 0, 0, 0, 1240.00, 0, 1268, 0.00%, 203, 0
1710253767, 0, 5, 12, 0, 0, 0.32%, 0, 0, 0, 1393.33, 0, 1686, 0.00%, 207, 0
1710253768, 0, 5, 12, 0, 0, 0.32%, 0, 0, 0, 1213.33, 0, 2050, 0.00%, 207, 0
1710253768, 0, 7, 12, 0, 0, 0.32%, 0, 0, 0, 1540.00, 0, 2512, 0.00%, 207, 0
1710253768, 0, 7, 12, 0, 0, 0.32%, 0, 0, 0, 1580.00, 0, 2986, 0.00%, 207, 0
1710253768, 0, 8, 12, 0, 0, 0.32%, 0, 0, 0, 1483.33, 0, 3431, 0.00%, 207, 0
1710253769, 0, 8, 12, 0, 0, 0.32%, 0, 0, 0, 1326.67, 0, 3829, 0.00%, 207, 0
1710253769, 0, 9, 12, 0, 0, 0.32%, 0, 0, 0, 1446.67, 0, 4263, 0.00%, 207, 0
1710253769, 0, 10, 13, 0, 0, 0.33%, 0, 0, 0, 1362.75, 0, 4680, 0.00%, 215, 0
1710253770, 0, 10, 14, 0, 0, 0.33%, 0, 0, 0, 1430.00, 0, 5109, 0.00%, 216, 0
1710253770, 0, 11, 14, 0, 0, 0.33%, 0, 0, 0, 1320.00, 0, 5505, 0.00%, 216, 0
1710253770, 0, 11, 14, 0, 0, 0.33%, 0, 0, 0, 1460.00, 0, 5943, 0.00%, 216, 0
1710253771, 0, 12, 14, 0, 0, 0.33%, 0, 0, 0, 1593.33, 0, 6421, 0.00%, 216, 0
1710253771, 0, 12, 14, 0, 0, 0.33%, 0, 0, 0, 1370.00, 0, 6832, 0.00%, 216, 0
1710253771, 0, 13, 14, 0, 0, 0.33%, 0, 0, 0, 1643.33, 0, 7325, 0.00%, 216, 0
1710253771, 0, 13, 14, 0, 0, 0.33%, 0, 0, 0, 1330.00, 0, 7724, 0.00%, 216, 0
1710253772, 1, 0, 14, 0, 0, 0.33%, 0, 0, 0, 1506.67, 0, 8176, 0.00%, 216, 0
1710253772, 1, 4, 14, 0, 0, 0.33%, 0, 0, 0, 1426.67, 0, 8604, 0.00%, 216, 0
1710253772, 1, 4, 14, 0, 0, 0.33%, 0, 0, 0, 1610.00, 0, 9087, 0.00%, 216, 0
1710253773, 1, 5, 14, 0, 0, 0.33%, 0, 0, 0, 1363.33, 0, 9496, 0.00%, 216, 0
1710253773, 1, 5, 14, 0, 0, 0.33%, 0, 0, 0, 1590.00, 0, 9973, 0.00%, 216, 0
1710253773, 1, 7, 14, 0, 0, 0.33%, 0, 0, 0, 1700.00, 0, 10483, 0.00%, 216, 0
1710253774, 1, 8, 14, 0, 0, 0.33%, 0, 0, 0, 1766.67, 0, 11013, 0.00%, 216, 0
1710253774, 1, 9, 14, 0, 0, 0.33%, 0, 0, 0, 1750.00, 0, 11538, 0.00%, 216, 0
1710253774, 1, 9, 14, 0, 0, 0.33%, 0, 0, 0, 1756.67, 0, 12065, 0.00%, 216, 0
1710253774, 1, 10, 14, 0, 0, 0.33%, 0, 0, 0, 1743.33, 0, 12588, 0.00%, 216, 0
1710253775, 1, 11, 14, 0, 0, 0.33%, 0, 0, 0, 1576.67, 0, 13061, 0.00%, 216, 0
1710253775, 1, 11, 14, 0, 0, 0.33%, 0, 0, 0, 1866.67, 0, 13621, 0.00%, 216, 0
1710253775, 1, 12, 14, 0, 0, 0.33%, 0, 0, 0, 1726.67, 0, 14139, 0.00%, 216, 0
1710253776, 1, 13, 14, 0, 0, 0.33%, 0, 0, 0, 1773.33, 0, 14671, 0.00%, 216, 0
